;; Saldo inicial ;; 2024 ;; Saldo final ;;;;;C= Crédito;;;;;;
;;;;;;;;;;;D=Débito;;;;;;
;;;;;;;;;;;D y C= Débito y Crédito;;;;;;
;;;;;;;;;;;;;;;;;
Cons. ;Cuenta PUC; Débito ; Crédito ; Débito ; Crédito ; Débito ; Crédito ;Formulario;Concepto;Descripción;Naturaleza Cta.;Ubicación / Casilla;Formulario;Concepto;Descripción;Naturaleza Cta.;Ubicación / Casilla
80;21051043 CREDITO BANCOLOMBIA (96301);;; 105.047.112,00 ;; 105.047.112,00 ;;1009;2203;Saldo de la cuenta por tercero (20);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
81;21059502 FACTORING (BANCOLOMBIA);; 824.684.940,00 ;;;; 824.684.940,00 ;1009;2203;Saldo de la cuenta por tercero (20);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
82;21950502 CREDITO FINAKTIVA (718F) INVERSION                ;; 24.194.641,76 ; 23.316.816,00 ; 2.414.579,99 ;; 3.292.405,75 ;1009;2203;Saldo de la cuenta por tercero (20);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
83;21950507 CREDITO A2CENSO / INVERSION                       ;;;;;;;1009;2203;Saldo de la cuenta por tercero (20);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
84;21950509 CREDITO FINAKTIVA (1003F) INVERSION               ;; 120.381.725,37 ; 47.630.964,00 ; 9.318.893,77 ;; 82.069.655,14 ;1009;2203;Saldo de la cuenta por tercero (20);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
85;21950513 COOMEVA CR 63900                                  ;; 8.548.429,00 ;;;; 8.548.429,00 ;1009;2203;Saldo de la cuenta por tercero (20);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
86;21950517 CREDITO FINAKTIVA (1907F) INVERSION;; 408.577.291,96 ; 101.012.375,00 ; 52.479.174,31 ;; 360.044.091,27 ;1009;2203;Saldo de la cuenta por tercero (20);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
87;21950519 FINKARGO COLOMBIA S.A.S;; 512.767.127,00 ;; 216.774.657,55 ;; 729.541.784,55 ;1009;2203;Saldo de la cuenta por tercero (20);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
88;21950520 CREDITO REDEM TECH-KAPITAL;;; 30.499.904,00 ;; 30.499.904,00 ;;1009;2203;Saldo de la cuenta por tercero (20);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
89;21950521 CREDITO IRIS (345521);;; 41.666.667,00 ;; 41.666.667,00 ;;1009;2203;Saldo de la cuenta por tercero (20);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
90;21959501 OBLIGACION TARJETAS DE CREDITO                    ;;;;;;;1009;2203;Saldo de la cuenta por tercero (20);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
91;21959502 TCREDITO BANCOLOMBIA 2750 (JCO)                   ;; 8.995.827,66 ;;;; 8.995.827,66 ;1009;2203;Saldo de la cuenta por tercero (20);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
92;21959503 TCREDITO BANCOLOMBIA 3866 (FM)                    ;; 35.264.972,18 ; 31.220.989,84 ; 3.911.417,00 ;; 7.955.399,34 ;1009;2203;Saldo de la cuenta por tercero (20);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
93;21959506 TC CLARA COORPORATIVA                             ;;; 5.248.985,92 ; 5.248.985,92 ;;;1009;2203;Saldo de la cuenta por tercero (20);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
94;22050501 PROVEEDORES NACIONALES                            ;; 186.257.340,00 ; 4.369.834.782,14 ; 421.324.047.712,35 ;; 417.140.470.270,21 ;1009;2201;Saldo de la cuenta por tercero (19);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
95;22100501 PROVEEDORES DEL EXTERIOR                          ;; 1.275.543.230,20 ; 1.583.782.675,30 ; 7.378.532.845,24 ;; 7.070.293.400,14 ;1009;2201;Saldo de la cuenta por tercero (19);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
96;23350501 GASTOS FINANCIEROS POR PAGAR                      ;; 50.519.635,50 ; 824.551.284,81 ; 905.192.537,73 ;; 131.160.888,42 ;1009;2206;Saldo de la cuenta por tercero (21);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
97;23351001 GASTOS LEGALES POR PAGAR                          ;; 678.514,00 ; 4.718.357,25 ; 4.039.843,25 ;;;1009;2206;Saldo de la cuenta por tercero (21);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
98;23352001 COMISIONES POR PAGAR                              ;; 15.508.203,56 ; 48.187.559,15 ; 85.219.266,53 ;; 52.539.910,94 ;1009;2206;Saldo de la cuenta por tercero (21);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
99;23352501 HONORARIOS                                        ;; 4.380.600,00 ; 16.644.339,40 ; 17.173.580,60 ;; 4.909.841,20 ;1009;2206;Saldo de la cuenta por tercero (21);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
100;23354001 ARRENDAMIENTOS POR PAGAR                          ;;; 111.672.118,82 ; 112.525.414,56 ;; 853.295,74 ;1009;2206;Saldo de la cuenta por tercero (21);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
101;23354501 TRANSPORTES FLETES Y ACARREOS POR PAGAR           ;; 113.535,00 ; 41.597.512,00 ; 61.656.569,20 ;; 20.172.592,20 ;1009;2206;Saldo de la cuenta por tercero (21);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
102;23355001 SERVICIOS PUBLICOS POR PAGAR                      ;; 2.535.021,00 ; 24.659.281,77 ; 24.673.095,93 ;; 2.548.835,16 ;1009;2206;Saldo de la cuenta por tercero (21);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
103;23355501 SEGUROS POR PAGAR                                 ;;; 270.180,46 ; 1.157.920,46 ;; 887.740,00 ;1009;2206;Saldo de la cuenta por tercero (21);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
104;23357001 SERVICIOS ADUANEROS POR PAGAR                     ;; 169.670.854,00 ; 620.534.879,80 ; 709.019.267,70 ;; 258.155.241,90 ;1009;2206;Saldo de la cuenta por tercero (21);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
105;23359501 OTROS SERVICIOS                                   ;; 419.074.900,81 ; 7.336.383.207,98 ; 7.378.232.716,00 ;; 460.924.408,83 ;1009;2206;Saldo de la cuenta por tercero (21);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
106;23359502 CUENTA POR PAGAR (INVERSION)                      ;;; 48.897.833,00 ; 115.163.952,00 ;; 66.266.119,00 ;1009;2206;Saldo de la cuenta por tercero (21);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
107;23359503 CAJAS MENORES POR PAGAR                           ;;; 310.300.057,00 ; 3.181.197,86 ; 307.118.859,14 ;;1009;2206;Saldo de la cuenta por tercero (21);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
108;23650501 RENTAS DE TRABAJO                                 ;;; 4.128.000,00 ; 4.737.000,00 ;; 609.000,00 ;2276;;Sumatoria de valor por empleado (21);C;(AJ) Retenciones en la fuente por pagos de rentas de trabajo;;;;;
109;23651501 HONORARIOS PJ 11%                                 ;;; 1.961.758,37 ; 1.961.758,37 ;;;;;;;;;;;;
110;23651515 Retencion en la fuente por servicios de licencias software 3.5%;;; 2.079.000,00 ; 1.134.000,00 ; 945.000,00 ;;;;;;;;;;;
111;23652001 COMISIONES PJ 11%                                 ;;; 345.949,08 ; 402.638,37 ;; 56.689,29 ;;;;;;;;;;
112;23652501 TRANSPORTES FLETES Y ACARREOS 1%                  ;;; 492.242,00 ; 627.642,00 ;; 135.400,00 ;;;;;;;;;;
113;23652502 SERVICIOS GENERALES P J 4%                        ;;; 19.845.997,10 ; 21.292.175,39 ;; 1.446.178,29 ;;;;;;;;;;
114;23652503 SERVICIOS GENERALES P N 6%                        ;;; 227.101,00 ; 227.101,00 ;;;;;;;;;;;;
115;23652504 SERVICIOS TEMPORALES 1%                           ;;; 20.120,09 ; 20.120,09 ;;;;;;;;;;;;
116;23652535 Retencion en la fuente por servicio de vigilancia y aseo (sobre AIU) 2%;;; 13.548,00 ; 15.144,00 ;; 1.596,00 ;;;;;;;;;;
117;23653001 ARRENDAMIENTOS  PJ 3.5%                           ;;; 4.831.761,13 ; 5.549.798,42 ;; 718.037,29 ;;;;;;;;;;
118;23653501 RENDIMIENTOS FINANCIEROS 7%                       ;;; 12.053.591,52 ; 17.296.519,84 ;; 5.242.928,32 ;;;;;;;;;;
119;23654001 COMPRAS AL 2.5%                                   ;;; 82.247.061,76 ; 88.513.741,55 ;; 6.266.679,79 ;;;;;;;;;;
120;23654002 COMPRAS AL 3.5%                                   ;;; 484.026,00 ; 484.026,00 ;;;;;;;;;;;;
121;23657501 AUTORETENCION CREE (0.55);;; 142.301.087,34 ; 157.224.807,34 ;; 14.923.720,00 ;;;;;;;;;;
122;23659001 RETENCIÓN EN LA FUENTE POR PAGAR                  ;; 49.158.000,00 ; 176.419.000,00 ; 252.230.000,00 ;; 124.969.000,00 ;;;;;;;;;;
123;23670101 IMPUESTO A LAS VENTAS RETENIDO                    ;;; 11.965.302,44 ; 12.278.802,44 ;; 313.500,00 ;;;;;;;;;;
124;236805 Impuesto de Industria y Comercio Retenido;;;;;;;;;;;;;;;;
125;23680501 RETEICA BOGOTA 4.14 x 1000                        ;;; 160.977,00 ; 259.840,40 ;; 98.863,40 ;;;;;;;;;;
126;23680502 RETEICA BOGOTA - 6.90 x 1000                      ;;; 717.395,86 ; 920.266,08 ;; 202.870,22 ;;;;;;;;;;
127;23680503 RETEICA BOGOTA - 9.66 x 1000                      ;;; 3.674.540,30 ; 5.426.069,25 ;; 1.751.528,95 ;;;;;;;;;;
128;23680504 RETEICA BOGOTA - 11.04 x 1000                     ;;; 19.471.851,08 ; 35.127.586,75 ;; 15.655.735,67 ;;;;;;;;;;
129;23680505 RETEICA BOGOTA - 13.80 x 1000                     ;;; 8.246,88 ; 10.449,36 ;; 2.202,48 ;;;;;;;;;;
130;23680507 RETEICA BOGOTA - 7.66 x 1000                      ;;; 118.213,00 ; 142.113,00 ;; 23.900,00 ;;;;;;;;;;
131;23680509 RETEICA BOGOTA - 8.66 x 1000                      ;;; 370.943,49 ; 370.943,49 ;;;;;;;;;;;;
132;23680510 RETEICA BOGOTA - 14.00 X 1000;;; 412.379,70 ; 599.982,15 ;; 187.602,45 ;;;;;;;;;;
133;23689001 RETENCION DE ICA POR PAGAR                        ;; 5.574.000,00 ; 8.222.000,00 ; 20.054.192,70 ;; 17.406.192,70 ;;;;;;;;;;
134;23700501 SANITAS E.P.S.                                    ;; 2.154.600,00 ; 7.120.386,00 ; 8.959.017,00 ;; 3.993.231,00 ;2276;;Sumatoria de valor por empleado (21);C;(AD) Aportes obligatorios por salud a cargo del trab;1009;2214;Saldo de la cuenta (23);D y C;(N) Saldo CXP a 31 diciembre
135;23700502 COMPENSAR E.P.S.                                  ;; 1.149.700,00 ; 8.132.058,00 ; 10.670.642,00 ;; 3.688.284,00 ;2276;;Sumatoria de valor por empleado (21);C;(AD) Aportes obligatorios por salud a cargo del trab;1009;2214;Saldo de la cuenta (23);D y C;(N) Saldo CXP a 31 diciembre
136;23700504 E.P.S. SURA                                       ;; 2.003.500,00 ; 7.718.623,00 ; 9.571.958,00 ;; 3.856.835,00 ;2276;;Sumatoria de valor por empleado (21);C;(AD) Aportes obligatorios por salud a cargo del trab;1009;2214;Saldo de la cuenta (23);D y C;(N) Saldo CXP a 31 diciembre
